PMID/PMCID,Publisher,Journal title,Article title,,,COST (£) charged to Wellcome (inc VAT when charged)
"PMC3378987
",Elsevier,Academy of Nutrition and Dietetics,Parent support and parent mediated behaviours are associated with children's sugary beverage consumption,,,2225
PMCID: PMC3780468,ACS (Amercian Chemical Society) Publications,ACS Chemical Biology,A Novel Allosteric Inhibitor of the Uridine Diphosphate N-Acetylglucosamine Pyrophosphorylase from Trypanosoma brucei.,,,2247
PMCID: PMC3621575,ACS (Amercian Chemical Society) Publications,ACS Chemical Biology,Chemical proteomic analysis reveals the drugability of the kinome of Trypanosoma brucei.,,,2258
,American Chemical Society,ACS Chemical Biology,Discovery of β2 Adrenergic Receptor Ligands Using Biosensor Fragment Screening of Tagged Wild-Type Receptor,,,2703
PMID: 24015914 PMC3833349 ,American Chemical Society,ACS Chemical Biology,Discovery of an allosteric inhibitor binding site in 3-oxo-acyl-ACP reductase from Pseudomonas aeruginosa,,,2385
: PMC3805332 ,American Chemical Society,ACS Chemical Biology,Synthesis of alpha-glucan in mycobacteria involves a hetero-octameric complex of trehalose synthase TreS and maltokinase Pep2,,,2269
"PMCID:
    PMC3656742
",American Chemical Society,ACS Chemical Neuroscience,Continuous online microdialysis using microfluidic sensors: dynamic neuro-metabolic changes during spreading depolarisation,,,2774
PMCID: 3584654,AMERICAN CHEMICAL SOCIETY,ACS NANO,HYDROXY-TERMINATED CONJUGATED POLYMER NANOPARTICLES HAVE NEAR-UNITY BRIGHT FRACTION,,,1309
23373658,American Chemical Society Publications,ACS Nano,"Skin dendritic cell targeting via microneedle arrays laden with antigen-encapsulated poly-D,L-lactide-co-glycolide nanoparticles induces efficient antitumor and antiviral immune responses.",,,2434
"PMCID:
    PMC3727331
",International Union of Crystallography ,"Acta Crystallographica Section D,  Biological Crystallography ",Clustering procedures for the optimal selection of data sets from multiple crystals in macromolecular  crystallography ,,,2299
PMCID: PMC3565438,International Union of Crystallography,Acta Crystallographica Section D: Biological Crystallography,Intensity statistics in the presence of translational non-crystallographic symmetry,,,1681
PMCID: PMC3668577,International Union of Crystallography (iucr),Acta Crystallographica Section F: Structural Biology and Crystallization Communications,Structure of diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase from Acinetobacter baumannii.,,,2805
PMCID: PMC3606566,International Union of Crystallography (iucr),Acta Crystallographica Section F: Structural Biology and Crystallization Communications,Structure of Pseudomonas aeruginosa inosine 5'-monophosphate dehydrogenase,,,1610
"
    PMC3498934",International Union of Crystallography,"Acta Crystallographica, Section D",Nearest-cell: a fast and easy tool for locating crystal matches in the PDB.,,,1170
PMID:22993091 PMC3447403 ,International Union of Crystallography,Acta Crystallography D,"Crystallization, dehydration and experimental phasing of WbdD, a bifunctional kinase and methyltransferase from Escherichia coli O9a",,,1242
PMC3087623,International Union of Crystallography,Acta D,Structure of HLA-A*0301 in complex with a peptide of proteolipid protein: insights into the role of HLA-A alleles in susceptibility to multiple sclerosis.,,,2456
PMC3808818 ,Society for Publication of Acta Dermato-Venereologica,Acta Dermato Venereologica,"The Importance of a Full Clinical Examination: Assessment of Index
Lesions Referred to a Skin Cancer Clinic Without a Total Body Skin
Examination Would Miss One in Three Melanomas",,,2942
PMID: 23828613 (July 2013 Epub),Springer,Acta Diabetologica,A rare SNP in pre-miR-34a is associated with increased levels of miR-34a in pancreatic beta cells,,,2804
PMC3374517,International Union of Crystallography,ACTA F,Crystallization and preliminary crystallographic analysis of the major capsid proteins VP16 and VP17 of bacteriophage P23-77,,,2870
PMC3549237,Springer,Acta Neuropathol,Overexpression of human wild-type FUS causes progressive motor neuron degeneration in an age- and dose-dependent fashion,,,2099
,Springer,Acta Neuropathologica,Î±-Synucleinopathy associated with G51D SNCA mutation: A link between Parkinson's disease and multiple system atrophy?,,,2560
PMC3661931,Springer,Acta Neuropathologica,Insufficient OPC migration into demyelinated lesions is a cause of poor remyelination in MS and mouse models,,,2729
3535376,Springer,Acta Neuropathologica,Unravelling the enigma o selective vulnerability in neurodegeneration: motor neurons resistant to degeneration in ALS show distinct gene expression characteristics and decreased susceptibility to excitotoxicity,,,2168
PMC3798121,Wiley-Blackwell,Acta Opthalmologica,Visual and psychological morbidity among patients with autosomal dominant optic atrophy,,,1934
21624095  PMCID: PMC3734623 ,Wiley,Acta Physiol,Integration of transient receptor potential canonical channels with lipids,,,1263
In Process,Wiley,Addiction,"Acute alcohol-related dysfunction as a predictor of employment status in a longitudinal study of working age men in Izhevsk, Russia.",,,1191
23734913,Wiley,Addiction,"Childhood conduct disorder trajectories, prior risk factors and cannabis use at age 16: birth cohort study",,,2186
